Trend,daytime_afd_Mkm2,nighttime_afd_Mkm2,percent_nighttime_afd_Mkm2,frp_MW_per_afd
negative,39.438936798673,22.18843633460691,15.085396856198622,18.127096000046276
positive,21.840980235542858,13.700886939043478,18.520055622074146,12.880533991116462
