Koppen,percent_afd_night,day_afd_per_op_per_Mkm2,night_afd_per_op_per_Mkm2,mean_frp_per_night_detection,mean_frp_per_day_detection
Equatorial,-0.01 ,-0.57 *,-0.12 *,-0.09 *,-0.26 *
Arid,0.05 *,-0.06 ,0 ,0.22 *,0.08 
Temperate,0.01 ,-0.63 *,-0.04 *,0 ,0.18 *
Boreal,0.12 *,-0.12 *,0.01 ,0.14 *,-0.05 
Global,0.03 *,-0.59 *,-0.02 *,0.13 *,-0.1 *
