cell,percent_afd_night,day_afd_per_op_per_Mkm2,night_afd_per_op_per_Mkm2,mean_frp_per_night_detection,mean_frp_per_day_detection
Equatorial,-2e-05 ,-0.00156 *,-0.00032 *,-0.00025 *,-0.00072 *
Arid,0.00013 *,-0.00017 ,-1e-05 ,0.00059 *,0.00023 
Temperate,4e-05 ,-0.00172 *,-0.00011 *,0 ,0.00049 *
Boreal,0.00034 *,-0.00032 *,4e-05 ,0.00039 *,-0.00014 
