cell,percent_afd_night,day_afd_per_op_per_Mkm2,night_afd_per_op_per_Mkm2,mean_frp_per_detection
Equatorial,6.8e-05 ,-0.0015 *,-0.00024 *,-2.6e-05 
Arid,0.00049 *,-0.00012 ,0.00012 *,0.00017 *
Temperate,0.00013 *,-0.0016 *,-7e-05 ,0.00059 *
Boreal,3e-04 *,-0.00023 ,2.2e-05 ,0.00056 *
