cell,percent_afd_night,day_afd_per_op_per_Mkm2,night_afd_per_op_per_Mkm2,mean_frp_per_detection
Equatorial,63.21 ,-2514.69 *,-238.14 ,338.63 
Arid,85.74 ,-1536.99 ,-975.36 ,233.95 
Temperate,636.07 ,-1003.11 *,994.67 ,700.89 *
Boreal,391.38 *,-627.83 *,47.02 ,813.87 *
