cell,x,y,p,beta,n,area_km2,variable
6414,113.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6415,114.875,72.125,0.37109336952269756,0,18,3824.1841847698975,day_afd_per_op
6416,115.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6417,116.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6418,117.875,72.125,0.589638551626567,0,18,3824.1841847698975,day_afd_per_op
6419,118.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6420,119.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6421,120.875,72.125,0.37109336952269756,0,18,3824.1841847698975,day_afd_per_op
6422,121.875,72.125,0.37109336952269756,0,18,3824.1841847698975,day_afd_per_op
6423,122.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6429,128.875,72.125,0.37109336952269756,0,18,3824.1841847698975,day_afd_per_op
6440,139.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6441,140.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6442,141.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6445,144.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6446,145.875,72.125,0.37109336952269756,0,18,3824.1841847698975,day_afd_per_op
6481,-179.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6546,-114.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6565,-95.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6584,-76.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6585,-75.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6586,-74.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6631,-29.125,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6632,-28.125,71.125,0.5838824207703652,0,18,4029.9815934193116,day_afd_per_op
6634,-26.125,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6688,27.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6689,28.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6714,53.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6727,66.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6728,67.875,71.125,0.036031686218233556,0,18,4029.9815934193116,day_afd_per_op
6731,70.875,71.125,0.1814492077214203,0,18,4029.9815934193116,day_afd_per_op
6732,71.875,71.125,0.03720927906238707,2.943773870356381e-4,18,4029.9815934193116,day_afd_per_op
6734,73.875,71.125,0.42267807417063546,0,18,4029.9815934193116,day_afd_per_op
6735,74.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6745,84.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6756,95.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6766,105.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6767,106.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6769,108.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6771,110.875,71.125,0.42267807417063546,0,18,4029.9815934193116,day_afd_per_op
6772,111.875,71.125,0.5838824207703652,0,18,4029.9815934193116,day_afd_per_op
6773,112.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6774,113.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6775,114.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6776,115.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6777,116.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6778,117.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6779,118.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6780,119.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6781,120.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6782,121.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6784,123.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6785,124.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6786,125.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6787,126.875,71.125,0.10034824646229079,0,18,4029.9815934193116,day_afd_per_op
6788,127.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6789,128.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6791,130.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6793,132.875,71.125,0.10034824646229079,0,18,4029.9815934193116,day_afd_per_op
6794,133.875,71.125,0.8551321405847059,0,18,4029.9815934193116,day_afd_per_op
6795,134.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6799,138.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6800,139.875,71.125,0.42267807417063546,0,18,4029.9815934193116,day_afd_per_op
6801,140.875,71.125,0.7892680261342813,0,18,4029.9815934193116,day_afd_per_op
6802,141.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6804,143.875,71.125,0.42267807417063546,0,18,4029.9815934193116,day_afd_per_op
6805,144.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6806,145.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6808,147.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6810,149.875,71.125,0.37109336952269756,0,18,4029.9815934193116,day_afd_per_op
6816,155.875,71.125,1,0,18,4029.9815934193116,day_afd_per_op
6860,-160.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6869,-151.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6871,-149.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6874,-146.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6892,-128.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6893,-127.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6914,-106.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6926,-94.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6934,-86.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6944,-76.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6945,-75.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6968,-52.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6991,-29.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6992,-28.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6993,-27.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
6994,-26.125,70.125,0.1814492077214203,0,18,4234.466701288452,day_afd_per_op
6996,-24.125,70.125,1,0,18,4234.466701288452,day_afd_per_op
7041,20.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7043,22.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7048,27.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7050,29.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7051,30.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7052,31.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7087,66.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7088,67.875,70.125,2.1372191522501475e-4,1.8662580599387488e-4,18,4234.466701288452,day_afd_per_op
7089,68.875,70.125,0.1814492077214203,0,18,4234.466701288452,day_afd_per_op
7090,69.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7091,70.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7092,71.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7098,77.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7102,81.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7105,84.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7106,85.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7107,86.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7108,87.875,70.125,0.034610557515707345,0,18,4234.466701288452,day_afd_per_op
7111,90.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7114,93.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7115,94.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7117,96.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7118,97.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7120,99.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7121,100.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7123,102.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7124,103.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7125,104.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7126,105.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7127,106.875,70.125,0.10034824646229079,0,18,4234.466701288452,day_afd_per_op
7128,107.875,70.125,0.10034824646229079,0,18,4234.466701288452,day_afd_per_op
7129,108.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7130,109.875,70.125,0.41849223344681974,0,18,4234.466701288452,day_afd_per_op
7131,110.875,70.125,0.6240645324651699,0,18,4234.466701288452,day_afd_per_op
7132,111.875,70.125,0.2945073936801101,0,18,4234.466701288452,day_afd_per_op
7133,112.875,70.125,0.5838824207703652,0,18,4234.466701288452,day_afd_per_op
7138,117.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7139,118.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7140,119.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7144,123.875,70.125,0.7874064906662693,0,18,4234.466701288452,day_afd_per_op
7145,124.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7146,125.875,70.125,0.36131042852617873,0,18,4234.466701288452,day_afd_per_op
7147,126.875,70.125,0.058707408431205005,0,18,4234.466701288452,day_afd_per_op
7148,127.875,70.125,0.10034824646229079,0,18,4234.466701288452,day_afd_per_op
7149,128.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7150,129.875,70.125,0.41849223344681974,0,18,4234.466701288452,day_afd_per_op
7151,130.875,70.125,0.589638551626567,0,18,4234.466701288452,day_afd_per_op
7152,131.875,70.125,4.813507574741011e-4,2.6417193132349185e-4,18,4234.466701288452,day_afd_per_op
7153,132.875,70.125,0.2807126652684958,0,18,4234.466701288452,day_afd_per_op
7154,133.875,70.125,0.059058229090536735,0,18,4234.466701288452,day_afd_per_op
7155,134.875,70.125,0.059058229090536735,0,18,4234.466701288452,day_afd_per_op
7156,135.875,70.125,0.2807126652684958,0,18,4234.466701288452,day_afd_per_op
7157,136.875,70.125,0.42267807417063546,0,18,4234.466701288452,day_afd_per_op
7158,137.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7160,139.875,70.125,0.1814492077214203,0,18,4234.466701288452,day_afd_per_op
7161,140.875,70.125,0.10034824646229079,0,18,4234.466701288452,day_afd_per_op
7162,141.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7163,142.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7164,143.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7165,144.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7166,145.875,70.125,0.1814492077214203,0,18,4234.466701288452,day_afd_per_op
7167,146.875,70.125,0.37109336952269756,0,18,4234.466701288452,day_afd_per_op
7168,147.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7170,149.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7171,150.875,70.125,0.1814492077214203,0,18,4234.466701288452,day_afd_per_op
7172,151.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7175,154.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7176,155.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7190,169.875,70.125,0.20124262095772402,0,18,4234.466701288452,day_afd_per_op
7191,170.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7192,171.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7193,172.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7194,173.875,70.125,1,0,18,4234.466701288452,day_afd_per_op
7215,-165.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7218,-162.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7221,-159.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7224,-156.125,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7225,-155.125,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7226,-154.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7229,-151.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7230,-150.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7232,-148.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7233,-147.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7234,-146.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7237,-143.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7239,-141.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7241,-139.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7242,-138.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7246,-134.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7247,-133.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7250,-130.125,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7251,-129.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7275,-105.125,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7289,-91.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7296,-84.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7310,-70.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7311,-69.125,69.125,1,0,18,4437.574448552246,day_afd_per_op
7399,18.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7403,22.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7405,24.875,69.125,0.7892680261342813,0,18,4437.574448552246,day_afd_per_op
7406,25.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7407,26.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7408,27.875,69.125,0.5838824207703652,0,18,4437.574448552246,day_afd_per_op
7409,28.875,69.125,0.40167816646977295,0,18,4437.574448552246,day_afd_per_op
7410,29.875,69.125,7.247147221096363e-4,-5.252100761156595e-5,18,4437.574448552246,day_afd_per_op
7411,30.875,69.125,0.08992365050871301,-7.189330856569789e-5,18,4437.574448552246,day_afd_per_op
7412,31.875,69.125,0.553268714219993,0,18,4437.574448552246,day_afd_per_op
7413,32.875,69.125,0.6246637014071241,0,18,4437.574448552246,day_afd_per_op
7414,33.875,69.125,0.42267807417063546,0,18,4437.574448552246,day_afd_per_op
7415,34.875,69.125,0.059058229090536735,0,18,4437.574448552246,day_afd_per_op
7416,35.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7438,57.875,69.125,0.014147403886021537,0,18,4437.574448552246,day_afd_per_op
7439,58.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7444,63.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7445,64.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7446,65.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7450,69.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7456,75.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7458,77.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7459,78.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7460,79.875,69.125,0.6240645324651699,0,18,4437.574448552246,day_afd_per_op
7461,80.875,69.125,0.36131042852617873,0,18,4437.574448552246,day_afd_per_op
7462,81.875,69.125,0.8551321405847059,0,18,4437.574448552246,day_afd_per_op
7463,82.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7464,83.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7465,84.875,69.125,0.42267807417063546,0,18,4437.574448552246,day_afd_per_op
7466,85.875,69.125,0.7892680261342813,0,18,4437.574448552246,day_afd_per_op
7467,86.875,69.125,0.5838824207703652,0,18,4437.574448552246,day_afd_per_op
7468,87.875,69.125,0.21214294433593753,-2.1014406035343807e-4,18,4437.574448552246,day_afd_per_op
7469,88.875,69.125,0.4771966199887701,0,18,4437.574448552246,day_afd_per_op
7470,89.875,69.125,0.1814492077214203,0,18,4437.574448552246,day_afd_per_op
7471,90.875,69.125,0.5286121252556879,0,18,4437.574448552246,day_afd_per_op
7472,91.875,69.125,0.036031686218233556,0,18,4437.574448552246,day_afd_per_op
7473,92.875,69.125,0.8551321405847059,0,18,4437.574448552246,day_afd_per_op
7474,93.875,69.125,0.1814492077214203,0,18,4437.574448552246,day_afd_per_op
7475,94.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7476,95.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7477,96.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7478,97.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7479,98.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7482,101.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7483,102.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7484,103.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7485,104.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7486,105.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7487,106.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7488,107.875,69.125,0.36131042852617873,0,18,4437.574448552246,day_afd_per_op
7489,108.875,69.125,0.1814492077214203,0,18,4437.574448552246,day_afd_per_op
7490,109.875,69.125,0.35254213749971297,0,18,4437.574448552246,day_afd_per_op
7491,110.875,69.125,0.589638551626567,0,18,4437.574448552246,day_afd_per_op
7492,111.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7493,112.875,69.125,0.20124262095772402,0,18,4437.574448552246,day_afd_per_op
7494,113.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7495,114.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7496,115.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7498,117.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7500,119.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7501,120.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7502,121.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7503,122.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7504,123.875,69.125,0.1814492077214203,0,18,4437.574448552246,day_afd_per_op
7505,124.875,69.125,0.10034824646229079,0,18,4437.574448552246,day_afd_per_op
7506,125.875,69.125,0.36131042852617873,0,18,4437.574448552246,day_afd_per_op
7507,126.875,69.125,0.0016562478038332142,3.52634180506522e-5,18,4437.574448552246,day_afd_per_op
7508,127.875,69.125,0.059058229090536735,0,18,4437.574448552246,day_afd_per_op
7510,129.875,69.125,0.024838501704883286,0,18,4437.574448552246,day_afd_per_op
7511,130.875,69.125,0.034610557515707345,0,18,4437.574448552246,day_afd_per_op
7512,131.875,69.125,0.01055870761672617,5.726654947336231e-4,18,4437.574448552246,day_afd_per_op
7513,132.875,69.125,0.026310695289801723,1.5370342007372528e-4,18,4437.574448552246,day_afd_per_op
7514,133.875,69.125,0.041796709339960283,8.047980533904463e-4,18,4437.574448552246,day_afd_per_op
7515,134.875,69.125,0.18343061898217813,0,18,4437.574448552246,day_afd_per_op
7516,135.875,69.125,0.8551321405847059,0,18,4437.574448552246,day_afd_per_op
7517,136.875,69.125,0.5293681061847979,0,18,4437.574448552246,day_afd_per_op
7518,137.875,69.125,0.40694121691803053,0,18,4437.574448552246,day_afd_per_op
7519,138.875,69.125,0.045446946073125966,1.4812107644199084e-4,18,4437.574448552246,day_afd_per_op
7520,139.875,69.125,0.5541131300694455,0,18,4437.574448552246,day_afd_per_op
7521,140.875,69.125,0.5293681061847979,0,18,4437.574448552246,day_afd_per_op
7522,141.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7523,142.875,69.125,0.42267807417063546,0,18,4437.574448552246,day_afd_per_op
7524,143.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7525,144.875,69.125,0.10247043485974935,0,18,4437.574448552246,day_afd_per_op
7526,145.875,69.125,0.1814492077214203,0,18,4437.574448552246,day_afd_per_op
7527,146.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7528,147.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7529,148.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7530,149.875,69.125,0.7597658259780666,0,18,4437.574448552246,day_afd_per_op
7531,150.875,69.125,0.5226135253906251,2.715730160060856e-7,18,4437.574448552246,day_afd_per_op
7532,151.875,69.125,0.206549632471487,-9.60216944804415e-5,18,4437.574448552246,day_afd_per_op
7533,152.875,69.125,0.4755326595969013,0,18,4437.574448552246,day_afd_per_op
7534,153.875,69.125,0.8551321405847059,0,18,4437.574448552246,day_afd_per_op
7535,154.875,69.125,0.20512790086855714,-1.2168893590569496e-6,18,4437.574448552246,day_afd_per_op
7541,160.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7542,161.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7543,162.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7544,163.875,69.125,0.42267807417063546,0,18,4437.574448552246,day_afd_per_op
7545,164.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7547,166.875,69.125,0.7892680261342813,0,18,4437.574448552246,day_afd_per_op
7548,167.875,69.125,0.5838824207703652,0,18,4437.574448552246,day_afd_per_op
7549,168.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7551,170.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7552,171.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7554,173.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7555,174.875,69.125,0.37109336952269756,0,18,4437.574448552246,day_afd_per_op
7556,175.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7557,176.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7558,177.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7559,178.875,69.125,1,0,18,4437.574448552246,day_afd_per_op
7562,-178.125,68.125,1,0,18,4639.240438450195,day_afd_per_op
7574,-166.125,68.125,1,0,18,4639.240438450195,day_afd_per_op
7576,-164.125,68.125,0.5838824207703652,0,18,4639.240438450195,day_afd_per_op
7577,-163.125,68.125,0.7874064906662693,0,18,4639.240438450195,day_afd_per_op
7578,-162.125,68.125,0.7874064906662693,0,18,4639.240438450195,day_afd_per_op
