cell,x,y,p,beta,n,area_km2,variable
2313,-27.125,83.125,1,0,18,1492.985342645508,day_afd_per_op
2622,-78.125,82.125,1,0,18,1708.7635132366943,day_afd_per_op
2623,-77.125,82.125,0.2945073936801101,0,18,1708.7635132366943,day_afd_per_op
2624,-76.125,82.125,1,0,18,1708.7635132366943,day_afd_per_op
2648,-52.125,82.125,1,0,18,1708.7635132366943,day_afd_per_op
2649,-51.125,82.125,1,0,18,1708.7635132366943,day_afd_per_op
2976,-84.125,81.125,1,0,18,1923.9803973613282,day_afd_per_op
2980,-80.125,81.125,1,0,18,1923.9803973613282,day_afd_per_op
2982,-78.125,81.125,1,0,18,1923.9803973613282,day_afd_per_op
3327,-93.125,80.125,1,0,18,2138.5656221329345,day_afd_per_op
3328,-92.125,80.125,0.34577858615116025,0,18,2138.5656221329345,day_afd_per_op
3691,-89.125,79.125,1,0,18,2352.44913467688,day_afd_per_op
4157,16.875,78.125,1,0,18,2565.561236533325,day_afd_per_op
4517,16.875,77.125,1,0,18,2777.8326175594484,day_afd_per_op
4838,-22.125,76.125,0.7892680261342813,0,18,2989.1943892611084,day_afd_per_op
4960,99.875,76.125,1,0,18,2989.1943892611084,day_afd_per_op
4965,104.875,76.125,1,0,18,2989.1943892611084,day_afd_per_op
4970,109.875,76.125,1,0,18,2989.1943892611084,day_afd_per_op
5320,99.875,75.125,1,0,18,3199.5781175179445,day_afd_per_op
5323,102.875,75.125,1,0,18,3199.5781175179445,day_afd_per_op
5328,107.875,75.125,1,0,18,3199.5781175179445,day_afd_per_op
5552,-28.125,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5553,-27.125,74.125,0.5293681061847979,0,18,3408.9158546619874,day_afd_per_op
5636,55.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5637,56.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5673,92.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5674,93.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5675,94.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5676,95.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5677,96.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5678,97.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5682,101.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5685,104.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5694,113.875,74.125,1,0,18,3408.9158546619874,day_afd_per_op
5819,-121.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5855,-85.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5857,-83.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5911,-29.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5912,-28.125,73.125,0.7892680261342813,0,18,3617.1401708603516,day_afd_per_op
5913,-27.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5914,-26.125,73.125,0.7874064906662693,0,18,3617.1401708603516,day_afd_per_op
5915,-25.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5916,-24.125,73.125,1,0,18,3617.1401708603516,day_afd_per_op
5994,53.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6023,82.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6037,96.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6047,106.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6049,108.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6058,117.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6060,119.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6061,120.875,73.125,0.1814492077214203,0,18,3617.1401708603516,day_afd_per_op
6062,121.875,73.125,0.37109336952269756,0,18,3617.1401708603516,day_afd_per_op
6081,140.875,73.125,1,0,18,3617.1401708603516,day_afd_per_op
6177,-123.125,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6248,-52.125,72.125,0.1814492077214203,0,18,3824.1841847698975,day_afd_per_op
6271,-29.125,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6273,-27.125,72.125,0.8384637819224636,0,18,3824.1841847698975,day_afd_per_op
6274,-26.125,72.125,0.0355223366234146,0,18,3824.1841847698975,day_afd_per_op
6277,-23.125,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6352,51.875,72.125,0.8551321405847059,0,18,3824.1841847698975,day_afd_per_op
6370,69.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6371,70.875,72.125,0.37109336952269756,0,18,3824.1841847698975,day_afd_per_op
6372,71.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6402,101.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6407,106.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6409,108.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
6411,110.875,72.125,1,0,18,3824.1841847698975,day_afd_per_op
